Freq (GHz),Loss (dB)
67,1.348200161
71,1.275744983
75,1.237939437
79,1.214513339
83,1.198610492
87,1.187198054
91,1.178705202
95,1.172228195
99,1.167206396
103,1.163271699
107,1.160171458
111,1.157725997
